command,script_api,description,type,engine_notes
greatest <axis>,"max(pool, key=lambda t: axis(t, ""<axis>""))",Select among candidates by sorting descending on <axis>; the top entry is chosen first. Axis names are vocabulary-bound (see axis rows).,selector,"Stable sort recommended; if ties matter define tie_break (below). O(n log n) per axis unless pool is tiny."
least <axis>,"min(pool, key=lambda t: axis(t, ""<axis>""))",Select among candidates by sorting ascending on <axis>; the bottom entry is chosen first.,selector,Same as greatest with inverted order; combine with n-th forms for fine targeting.
n greatest <axis>,"sorted(pool, key=lambda t: axis(t, ""<axis>""), reverse=True)[n-1]",Select the nth candidate after sorting descending on <axis> (1 = top). Out-of-range n falls through to next rule or default random.,selector,"Validate n at preset compile time when possible; cap n to pool size at runtime to avoid exceptions."
n least <axis>,"sorted(pool, key=lambda t: axis(t, ""<axis>""))[n-1]",Select the nth candidate after sorting ascending on <axis> (1 = lowest). Out-of-range falls through.,selector,Same validation notes as n greatest.
first row,"next((e for e in pool if e.grid_row == 1), None)",Restrict or prioritize targets in the first row of the battle grid when row semantics exist.,action selector,No-op or same-as-all if layout has no rows; document grid contract per encounter.
second row,"next((e for e in pool if e.grid_row == 2), None)",Restrict or prioritize targets in the second row of the battle grid.,action selector,
third row,"next((e for e in pool if e.grid_row == 3), None)",Restrict or prioritize targets in the third row of the battle grid.,action selector,
character with trait <trait>,"next((e for e in pool if e.has_trait(""<trait>"")), None)",From current candidate pool pick a character that has <trait> (stunned buffed debuffed etc.).,selector,"Intersect with pool early to shrink work; traits should be O(1) flags on combat entities."
character of archetype <archetype>,"next((e for e in pool if e.archetype == ""<archetype>""), None)",From current candidate pool pick a character matching <archetype> (ranger magician warrior buffer tank).,selector,Prefer integer enum archetype IDs internally; string labels for authoring only.
character with flag <flag>,"next((e for e in pool if party_flag(e, ""<flag>"")), None)","Selector: any entity in the candidate pool that currently carries the party-visible mark <flag> (see assign_flag). Other allies can read the same mark without recomputing focus logic.",selector,"Index party_flags by flag id per tick if many queries; O(1) check on entity."
prioritize dps,"pick_skill(self, skills=self.available_skills, priorities=[""attack"",""dps""])",When choosing an action prefer skills tagged attack or DPS over heals or utility.,action selector,Resolve by skill priority table; if no attack skill available fall through to next rule or random legal skill.
prioritize healing,"pick_skill(self, skills=self.available_skills, priorities=[""heal""])",When choosing an action prefer healing skills when any ally is healable under rules.,action selector,Short-circuit if no hurt ally: skip to next rule.
prioritize buffs,"pick_skill(self, skills=self.available_skills, priorities=[""buff""])",When choosing an action prefer buff-type skills on valid allies.,action selector,
prioritize debuffs,"pick_skill(self, skills=self.available_skills, priorities=[""debuff""])",When choosing an action prefer debuff-type skills on valid enemies.,action selector,
prioritize stuns,"pick_skill(self, skills=self.available_skills, priorities=[""stun"",""cc""])",When choosing an action prefer CC or stun-tagged skills when legal.,action selector,
stunned,e.has_trait("stunned"),Trait: entity currently under stun or equivalent CC (definition shared combat module).,trait definition,Evaluated each tick; cache invalidates on state change only.
buffed,e.has_trait("buffed") or len(e.buffs) > 0,Trait: entity has at least one positive status from the buff category.,trait definition,
debuffed,e.has_trait("debuffed") or len(e.debuffs) > 0,Trait: entity has at least one negative status from the debuff category.,trait definition,
ranger,e.archetype == Archetype.ranger or "ranger",Trait or archetype label for ranger (authoring); runtime maps to archetype enum.,trait definition,
magician,e.archetype == Archetype.magician or "magician",Trait or archetype label for magician.,trait definition,
warrior,e.archetype == Archetype.warrior or "warrior",Trait or archetype label for warrior.,trait definition,
buffer,e.archetype == Archetype.buffer or "buffer",Trait or archetype label for buffer.,trait definition,
tank,e.archetype == Archetype.tank or "tank",Trait or archetype label for tank.,trait definition,
more than,a > b,Numeric comparator: left expression strictly greater than right.,comparator,Use same unit for both sides (HP absolute vs percent — pick one per preset).
less than,a < b,Numeric comparator: left strictly less than right.,comparator,
equal to,a == b,Numeric or enum comparator: equality within epsilon for floats if used.,comparator,
not equal to,a != b,Numeric or enum comparator: inequality.,comparator,
greater than or equal to,a >= b,Numeric comparator: left >= right.,comparator,
less than or equal to,a <= b,Numeric comparator: left <= right.,comparator,
me,self,Selector resolving to the executing character (self).,selector,Always exactly one entity; no sort needed.
constitution,"axis(self, ""constitution"")  # or self.constitution",Comparison axis: constitution stat (or derived effective value).,axis,Snapshot at evaluation time or start of phase — document which.
dexterity,"axis(self, ""dexterity"")  # or self.dexterity",Comparison axis: dexterity stat.,axis,
wisdom,"axis(self, ""wisdom"")",Comparison axis: wisdom stat.,axis,
max_health,"axis(self, ""max_health"")  # or self.max_health",Comparison axis: maximum HP.,axis,
current_health,"axis(self, ""current_health"")  # or self.current_health",Comparison axis: current HP.,axis,
speed,"axis(self, ""speed"")",Comparison axis: speed or initiative stat.,axis,
tier,"axis(self, ""tier"")",Comparison axis: tier or level band used for targeting (encounter-defined).,axis,
individual_last_attack_hit,self.last_attack_target,Selector: the enemy or character last damaged by this character's attack.,selector,"Stale if target died or left; define fallback (null → fall through)."
individual_last_attack_received,self.last_attacker,Selector: the attacker who last damaged this character.,selector,Same stale rules as last hit.
select any with tag <tag>,"next((e for e in pool if ""<tag>"" in e.tags), None)",From candidate pool choose any entity whose content tag set contains <tag> (authoring tags on skills/assets). Not the same as party character flags (marks); see character with flag.,selector,Tags as interned strings or enum; pool filter O(n) unless indexed by tag per tick.
assign_flag <flag> to <selector>,assign_party_flag("<flag>", resolve_selector(<selector>, ctx)),Party mark: attach named flag to the character(s) resolved by <selector> (e.g. focus_damage heal_priority cc_focus). Published to encounter-wide party state so every preset can target or react without recomputing who is call-out. Replaces prior holder if flag is single-slot (see engine_notes).,flag action,"Sync across allies: invalidate selector caches when flags change. Optional policy: one entity per flag name (focus) vs many (soft_mark)."
clear_flag <flag>,clear_party_flag("<flag>"),Remove mark <flag> from all entities that currently hold it (encounter reset or tactic change).,flag action,Consider narrow variant clear_flag <flag> from <selector> for single-entity unmark.
clear_flag <flag> from <selector>,clear_party_flag("<flag>", entity=resolve_selector(<selector>, ctx)),Remove mark <flag> only from the resolved entity.,flag action,
preset_rule_order,(implicit: rules[] evaluated in order; first match),Authoring contract: rules in a character preset are evaluated top to bottom; first fully applicable rule wins unless marked continue.,meta,"Optimization: short-circuit on first match; index rules by cheap guards first."
default_random_target,random.choice(legal_targets(enemies)),Fallback when no rule matches: pick uniformly among legal enemy targets (or allies for heals — mode-defined).,meta,Documented default for play-without-presets random behavior.
tie_break_random,random.choice(ties) if ties else pick,Tie-break helper after sort ties.,meta,Deterministic seed optional for replay/debug.
tie_break_row_then_axis,"sorted(ties, key=lambda e: (e.row, axis(e, secondary)))[0]",When ties remain break by row order then by axis secondary (authoring-defined).,meta,Avoids RNG flapping between frames.
when my turn,"if ctx.phase == ""my_turn"" or initiative.actor == self:",Begins a rule block that only runs on this character's initiative step (before actions resolve). Use to separate planning hooks from reactive triggers.,hook,"Evaluate once per turn entry; cheap guard. Combine with preset_rule_order so inner steps still short-circuit."
when <skill> is available,"skill_ready(self, ""<skill_id>"")",Begins a block when the named skill is off cooldown and affordable (MP/resources) and passes any skill-specific gates.,hook,"Check skill availability before expensive selectors; cache cooldown state per tick if many rules reference it."
when my <axis> <comparator> <value>,"compare(axis(self, ""<axis>""), ""<comparator>"", <value>)",Begins a block when this character's stat on <axis> compares to <value> using the given comparator (same vocabulary as row-level comparators).,hook,"Evaluate after stat snapshots for the tick; document whether buffs mid-turn re-evaluate (usually no until next decision)."
if <expr>,if <boolean expr>: ... else fallthrough,Conditional guard: evaluate boolean expression using selectors axes and comparators; inner commands run only if true.,conditional,"Short-circuit evaluation; avoid nested depth explosion — flatten to ordered rules when possible."
