id,name,idea,archeotype,element,description,base_rarity,health_base,constitution_base,wisdom_base,dexterity_base,speed_base,charisma_base,birthday,height,weight,blood_type
001,Mooni,tide-calm linebreaker pickoff,ranger,Anemo,Prefers off-angle pressure and clean finish windows. Mooni wears pale cloth with aerovane ornaments and drifting tassels. Moves so lightly that dust settles after they pass.,6,4,3,5,7,6,4,10-05,152,32,A
002,Illya,tide-calm linebreaker line hold,warrior,Hydro,"Wins trades through timing, spacing, and steady guard. Illya wears deep-ocean tones with flowing hems and ripple motifs. Counts breath cycles to keep perfect combat cadence.",8,6,7,4,6,5,4,20-07,155,43,A
003,Iris,tide-calm linebreaker line hold,warrior,Hydro,"Wins trades through timing, spacing, and steady guard. Iris wears layered blues with tide-line embroidery and pearl sheen. Rarely misses beat changes during long engagements.",8,6,7,4,6,5,4,30-09,150,44,A
004,Loki,tide-calm linebreaker pickoff,ranger,Anemo,Builds tempo through precise picks and quick retreats. Loki wears pale cloth with aerovane ornaments and drifting tassels. Uses wind direction to hide approach timing.,8,5,5,6,8,7,4,01-09,172,45,AB
005,Soltina,tide-calm linebreaker burst weave,magician,Hydro,Uses chained casts to turn small openings into swings. Soltina wears deep-ocean tones with flowing hems and ripple motifs. Rarely misses beat changes during long engagements.,10,6,5,9,6,6,6,21-08,153,41,B
006,Amleth,tide-calm linebreaker bulwark,tank,Hydro,Absorbs pressure and redraws threat around the team core. Amleth wears layered blues with tide-line embroidery and pearl sheen. Keeps a calm pulse even in extended boss phases.,10,8,10,6,5,5,5,26-04,164,50,B
007,Fenrir,tide-calm linebreaker burst weave,magician,Anemo,Threads spells in layered rhythms before a burst release. Fenrir wears pale cloth with aerovane ornaments and drifting tassels. Adjusts stance by sound before most opponents react.,10,6,5,9,6,6,6,01-11,170,40,O
008,Florence,tide-calm linebreaker line hold,warrior,Hydro,"Wins trades through timing, spacing, and steady guard. Florence wears deep-ocean tones with flowing hems and ripple motifs. Keeps a calm pulse even in extended boss phases.",10,7,8,5,7,6,5,03-02,163,47,A
009,Sonya,tide-calm linebreaker pickoff,ranger,Anemo,"Fights from shifting lanes, always one step ahead. Sonya wears lightweight wraps, feathered hems, and wind-cut ribbons. Moves so lightly that dust settles after they pass.",10,6,5,7,9,8,5,01-08,152,43,O
010,Moddey,tide-calm linebreaker battle hymn,buffer,Anemo,Keeps team uptime high through disciplined support routing. Moddey wears pale cloth with aerovane ornaments and drifting tassels. Moves so lightly that dust settles after they pass.,10,6,6,8,6,6,8,23-11,151,39,AB
011,Charlotte,ember oath front line hold,warrior,Pyro,Anchors midline pressure with reliable fundamentals. Charlotte wears cinder-marked cloth that glows brighter with movement. Known to tap their weapon twice before engaging.,6,5,6,3,5,4,4,05-02,151,40,AB
012,Arianrhod,ember oath front line hold,warrior,Pyro,"Holds formation and controls tempo from the front. Arianrhod wears burnished reds, soot-black trims, and ember-thread seams. Their training logs are marked with tiny burn symbols.",8,6,7,4,6,5,4,02-12,157,47,A
013,Theodora,ember oath front burst weave,magician,Pyro,Threads spells in layered rhythms before a burst release. Theodora wears charred leather accents and a furnace-orange mantle. Their training logs are marked with tiny burn symbols.,8,5,5,8,5,5,5,30-10,160,48,A
014,Petra,ember oath front pickoff,ranger,Pyro,"Fights from shifting lanes, always one step ahead. Petra wears cinder-marked cloth that glows brighter with movement. Their training logs are marked with tiny burn symbols.",8,5,4,6,8,7,4,07-01,153,45,O
015,Sabrina,ember oath front line hold,warrior,Pyro,"Wins trades through timing, spacing, and steady guard. Sabrina wears burnished reds, soot-black trims, and ember-thread seams. Can spot weak armor seams from surprising distance.",10,7,8,5,7,6,5,20-02,158,41,A
016,Freesia,ember oath front burst weave,magician,Pyro,Uses chained casts to turn small openings into swings. Freesia wears charred leather accents and a furnace-orange mantle. Can spot weak armor seams from surprising distance.,10,6,5,9,6,6,6,17-05,155,42,A
018,Rean,ember oath front bulwark,tank,Pyro,"Absorbs pressure and redraws threat around the team core. Rean wears burnished reds, soot-black trims, and ember-thread seams. Known to tap their weapon twice before engaging.",10,8,10,6,5,5,5,04-11,171,49,O
021,Shizu,grove stride line hold,warrior,Dendro,"Wins trades through timing, spacing, and steady guard. Shizu wears leaf-etched plating and moss-green stitching. Tracks terrain advantage better than most scouts.",6,5,6,3,5,4,4,02-07,151,40,AB
