name,number,description,category
Codenames,1,Two teams give one-word clues to identify agents while avoiding the assassin.,boardgame
Dixit,2,Players tell imaginative clues for surreal art cards and score through clever guesses.,boardgame
Love Letter,3,Quick deduction card game about delivering letters and eliminating rivals.,boardgame
Dominion,4,Classic deck-building game where players buy cards to build stronger turns.,boardgame
Betrayal at House on the Hill,5,Cooperative exploration turns into one-vs-many horror with unique scenario twists.,boardgame
Sheriff of Nottingham,6,Bluff and negotiate goods through inspections while outsmarting the sheriff.,boardgame
Decrypto,7,Teams send coded clues to teammates while intercepting opponent code patterns.,boardgame
Skull,8,Simple bluffing game of hidden skulls and flowers with escalating bids.,boardgame
Exploding,9,Light take-that card game about avoiding explosive kittens with action cards.,boardgame
Saboteur,10,Dwarves dig tunnels for gold while hidden saboteurs secretly block progress.,boardgame
Wavelength,11,Teams guess where clues land on a spectrum for cooperative party scoring.,boardgame
Mysterium,12,Ghost gives visual clues to mediums solving suspects locations and murder details.,boardgame
Terraforming Mars,13,Engine-building strategy game where corporations develop Mars for human habitation.,boardgame
Werewolf,14,Social deduction game with hidden roles and daytime voting accusations.,boardgame
The Resistance,15,Players complete missions while spies sabotage and deceive the team.,boardgame
Avalon,16,Arthurian Resistance variant with hidden roles and special powers for deduction.,boardgame
Secret Hitler,17,Hidden roles and political voting game set in tense historical theme.,boardgame
Coup,18,Fast bluffing card game of influence powers and challenge actions.,boardgame
Settlers of Catan,19,Trade resources and build roads settlements to earn victory points.,boardgame
Ticket to Ride,20,Collect train cards to claim routes and complete destination tickets.,boardgame
carcasonne,21,Tile-laying game building cities roads and fields for area scoring.,boardgame
Pandemic,22,Cooperative strategy to contain global outbreaks and discover disease cures.,boardgame
Venus Flytrap,23,A carnivorous plant with trap-like leaves that snap shut when insects touch trigger hairs. Used for pest control botanical study and ornamental display.,plant
Corpse Flower,24,Giant tropical flower that produces one of the largest blooms in the world and smells like rotting flesh. Used for botanical research greenhouse attractions and education about pollination.,plant
Dragons Blood Tree,25,An umbrella-shaped tree that produces a deep red resin called dragons blood. Used in traditional medicine as dye varnish and incense.,plant
Ghost Orchid,26,Rare orchid with floating white flowers that appear ghost-like in forests. Used for ornamental horticulture and conservation research.,plant
Pitcher Plant,27,Carnivorous plant with tube-shaped leaves that trap insects in digestive liquid. Used for natural insect control and educational displays.,plant
Mimosa pudica,28,Leaves fold inward quickly when touched. Used for educational demonstrations and as ornamental plant.,plant
Baobab Tree,29,Massive tree with thick trunk that stores water and appears upside-down. Sacred in African traditional religions. Provides food from fruit pulp and offers traditional medicine fiber and shelter.,plant
Jade Plant,30,Succulent with thick leaves often associated with prosperity. Rooted in Taoist feng shui symbolism for luck and good fortune. Used for indoor decoration.,plant
Aloe Vera,31,Succulent with gel-filled leaves. Used for skin care burns treatment and cosmetics.,plant
Stinging Nettle,32,Plant covered with tiny stinging hairs. Used for herbal tea medicine and textile fiber.,plant
Mandrake,33,Plant with forked root historically linked to myths and magic. Mentioned in the Bible as a symbol of fertility and associated with ancient witchcraft traditions. Used in historical herbal medicine and folklore studies.,plant
Bamboo,34,Fast-growing grass that can reach great heights. Used for construction furniture paper and food from bamboo shoots.,plant
Lotus,35,Aquatic plant with large floating leaves and symbolic flowers. Sacred in Hinduism and Buddhism representing purity and spiritual enlightenment. Used for food from seeds and roots and in ornamental ponds.,plant
Neem Tree,36,Tree revered in Hindu culture as a sacred healing plant. Known for strong medicinal and insect-repelling properties. Used as natural pesticide in medicine and skincare products.,plant
Saffron Crocus,37,Flower whose stigmas produce the spice saffron. Used in religious ceremonies across ancient Persian and Greek traditions. Used as culinary spice dye and in traditional medicine.,plant
Lavender,38,Aromatic herb with purple flowers. Used for essential oils perfumes relaxation products and cooking.,plant
Ginkgo,39,Ancient tree species with fan-shaped leaves. Planted at Buddhist temples across Asia and considered sacred. Used for herbal supplements and urban landscaping.,plant
Camellia sinensis,40,Evergreen shrub used to produce green black and oolong teas. Used for beverage production and antioxidants in health products.,plant
Cocoa Tree,41,Tropical tree whose seeds produce chocolate. Used for chocolate production beverages and cosmetics.,plant
Rubber Tree,42,Tree that produces latex sap. Used for natural rubber in tires gloves and industrial products.,plant
Rafflesia,43,Parasitic plant producing the world's largest single flower known for its strong rotten smell. Used for botanical research eco-tourism and education about parasitic plants.,plant
Monkey Puzzle Tree,44,Ancient conifer with stiff spiraling branches and sharp leaves. Used for ornamental landscaping and produces edible seeds.,plant
Bleeding Heart,45,Plant with heart-shaped flowers that appear to drip from the bottom. Used for ornamental gardening.,plant
