id,character_id,character_name,archeotype,element,skill_slot,name,description,target,effects,level_acquisition,max_upgrades,upgrade_notes,cooldown_rounds
SK0001,001,Mooni,ranger,Anemo,1,Gale Precision Shot,"Mooni channels Anemo power through gale precision shot, applying displace pressure with damage + mark.",Single enemy in backline preferred,damage + mark,1,3,U1: +12% base potency and +5% status chance; U2: adds secondary displace interaction and -1 cooldown every 2 uses; U3: +20% scaling from ranger core stat and grants bonus effect on critical timing.,1
SK0002,001,Mooni,ranger,Anemo,2,Zephyr Skirmish Step,"Mooni channels Anemo power through zephyr skirmish step, applying displace pressure with speed up + evasion up.",Self and nearest ally,speed up + evasion up,6,3,U1: +12% base potency and +5% status chance; U2: adds secondary displace interaction and -1 cooldown every 2 uses; U3: +20% scaling from ranger core stat and grants bonus effect on critical timing.,2
SK0003,001,Mooni,ranger,Anemo,3,Tempest Suppressing Volley,"Mooni channels Anemo power through tempest suppressing volley, applying displace pressure with multi-hit + anti-heal.",Row target,multi-hit + anti-heal,12,3,U1: +12% base potency and +5% status chance; U2: adds secondary displace interaction and -1 cooldown every 2 uses; U3: +20% scaling from ranger core stat and grants bonus effect on critical timing.,3
SK0004,001,Mooni,ranger,Anemo,4,Draft Finisher Lane,"Mooni channels Anemo power through draft finisher lane, applying displace pressure with execute scaling damage.",Lowest HP enemy,execute scaling damage,18,3,U1: +12% base potency and +5% status chance; U2: adds secondary displace interaction and -1 cooldown every 2 uses; U3: +20% scaling from ranger core stat and grants bonus effect on critical timing.,4
SK0005,002,Illya,warrior,Hydro,1,Tide Guard Breaker,"Illya channels Hydro power through tide guard breaker, applying soak pressure with damage + defense down.",Frontline enemy,damage + defense down,1,3,U1: +12% base potency and +5% status chance; U2: adds secondary soak interaction and -1 cooldown every 2 uses; U3: +20% scaling from warrior core stat and grants bonus effect on critical timing.,1
SK0006,002,Illya,warrior,Hydro,2,Current Battle Rhythm,"Illya channels Hydro power through current battle rhythm, applying soak pressure with attack up + cleanse one debuff.",Self,attack up + cleanse one debuff,6,3,U1: +12% base potency and +5% status chance; U2: adds secondary soak interaction and -1 cooldown every 2 uses; U3: +20% scaling from warrior core stat and grants bonus effect on critical timing.,2
SK0007,002,Illya,warrior,Hydro,3,Mist Formation Cleave,"Illya channels Hydro power through mist formation cleave, applying soak pressure with aoe damage + stagger chance.",Front row / cone,aoe damage + stagger chance,12,3,U1: +12% base potency and +5% status chance; U2: adds secondary soak interaction and -1 cooldown every 2 uses; U3: +20% scaling from warrior core stat and grants bonus effect on critical timing.,3
SK0008,002,Illya,warrior,Hydro,4,Surge Commanding Strike,"Illya channels Hydro power through surge commanding strike, applying soak pressure with heavy damage + team morale buff.",Marked enemy,heavy damage + team morale buff,18,3,U1: +12% base potency and +5% status chance; U2: adds secondary soak interaction and -1 cooldown every 2 uses; U3: +20% scaling from warrior core stat and grants bonus effect on critical timing.,4
SK0009,003,Iris,warrior,Hydro,1,Tide Guard Breaker,"Iris channels Hydro power through tide guard breaker, applying soak pressure with damage + defense down.",Frontline enemy,damage + defense down,1,3,U1: +12% base potency and +5% status chance; U2: adds secondary soak interaction and -1 cooldown every 2 uses; U3: +20% scaling from warrior core stat and grants bonus effect on critical timing.,1
SK0010,003,Iris,warrior,Hydro,2,Current Battle Rhythm,"Iris channels Hydro power through current battle rhythm, applying soak pressure with attack up + cleanse one debuff.",Self,attack up + cleanse one debuff,6,3,U1: +12% base potency and +5% status chance; U2: adds secondary soak interaction and -1 cooldown every 2 uses; U3: +20% scaling from warrior core stat and grants bonus effect on critical timing.,2
SK0011,003,Iris,warrior,Hydro,3,Mist Formation Cleave,"Iris channels Hydro power through mist formation cleave, applying soak pressure with aoe damage + stagger chance.",Front row / cone,aoe damage + stagger chance,12,3,U1: +12% base potency and +5% status chance; U2: adds secondary soak interaction and -1 cooldown every 2 uses; U3: +20% scaling from warrior core stat and grants bonus effect on critical timing.,3
SK0012,003,Iris,warrior,Hydro,4,Surge Commanding Strike,"Iris channels Hydro power through surge commanding strike, applying soak pressure with heavy damage + team morale buff.",Marked enemy,heavy damage + team morale buff,18,3,U1: +12% base potency and +5% status chance; U2: adds secondary soak interaction and -1 cooldown every 2 uses; U3: +20% scaling from warrior core stat and grants bonus effect on critical timing.,4
SK0013,004,Loki,ranger,Anemo,1,Gale Precision Shot,"Loki channels Anemo power through gale precision shot, applying displace pressure with damage + mark.",Single enemy in backline preferred,damage + mark,1,3,U1: +12% base potency and +5% status chance; U2: adds secondary displace interaction and -1 cooldown every 2 uses; U3: +20% scaling from ranger core stat and grants bonus effect on critical timing.,1
SK0014,004,Loki,ranger,Anemo,2,Zephyr Skirmish Step,"Loki channels Anemo power through zephyr skirmish step, applying displace pressure with speed up + evasion up.",Self and nearest ally,speed up + evasion up,6,3,U1: +12% base potency and +5% status chance; U2: adds secondary displace interaction and -1 cooldown every 2 uses; U3: +20% scaling from ranger core stat and grants bonus effect on critical timing.,2
SK0015,004,Loki,ranger,Anemo,3,Tempest Suppressing Volley,"Loki channels Anemo power through tempest suppressing volley, applying displace pressure with multi-hit + anti-heal.",Row target,multi-hit + anti-heal,12,3,U1: +12% base potency and +5% status chance; U2: adds secondary displace interaction and -1 cooldown every 2 uses; U3: +20% scaling from ranger core stat and grants bonus effect on critical timing.,3
SK0016,004,Loki,ranger,Anemo,4,Draft Finisher Lane,"Loki channels Anemo power through draft finisher lane, applying displace pressure with execute scaling damage.",Lowest HP enemy,execute scaling damage,18,3,U1: +12% base potency and +5% status chance; U2: adds secondary displace interaction and -1 cooldown every 2 uses; U3: +20% scaling from ranger core stat and grants bonus effect on critical timing.,4
SK0017,005,Soltina,magician,Hydro,1,Tide Sigil Bolt,"Soltina channels Hydro power through tide sigil bolt, applying soak pressure with magic damage + status seed.",Single enemy,magic damage + status seed,1,3,U1: +12% base potency and +5% status chance; U2: adds secondary soak interaction and -1 cooldown every 2 uses; U3: +20% scaling from magician core stat and grants bonus effect on critical timing.,1
SK0018,005,Soltina,magician,Hydro,2,Current Catalyst Weave,"Soltina channels Hydro power through current catalyst weave, applying soak pressure with magic amplification stack.",Self,magic amplification stack,6,3,U1: +12% base potency and +5% status chance; U2: adds secondary soak interaction and -1 cooldown every 2 uses; U3: +20% scaling from magician core stat and grants bonus effect on critical timing.,2
SK0019,005,Soltina,magician,Hydro,3,Mist Field Distortion,"Soltina channels Hydro power through mist field distortion, applying soak pressure with aoe damage + debuff spread.",All enemies,aoe damage + debuff spread,12,3,U1: +12% base potency and +5% status chance; U2: adds secondary soak interaction and -1 cooldown every 2 uses; U3: +20% scaling from magician core stat and grants bonus effect on critical timing.,3
