name,number,description,category,year,year_kind,pins,place_label,year_label
Codenames,1,Two teams give one-word clues to identify agents while avoiding the assassin.,boardgame,,,,,
Dixit,2,Players tell imaginative clues for surreal art cards and score through clever guesses.,boardgame,,,,,
Love Letter,3,Quick deduction card game about delivering letters and eliminating rivals.,boardgame,,,,,
Dominion,4,Classic deck-building game where players buy cards to build stronger turns.,boardgame,,,,,
Betrayal at House on the Hill,5,Cooperative exploration turns into one-vs-many horror with unique scenario twists.,boardgame,,,,,
Sheriff of Nottingham,6,Bluff and negotiate goods through inspections while outsmarting the sheriff.,boardgame,,,,,
Decrypto,7,Teams send coded clues to teammates while intercepting opponent code patterns.,boardgame,,,,,
Skull,8,Simple bluffing game of hidden skulls and flowers with escalating bids.,boardgame,,,,,
Exploding,9,Light take-that card game about avoiding explosive kittens with action cards.,boardgame,,,,,
Saboteur,10,Dwarves dig tunnels for gold while hidden saboteurs secretly block progress.,boardgame,,,,,
Wavelength,11,Teams guess where clues land on a spectrum for cooperative party scoring.,boardgame,,,,,
Mysterium,12,Ghost gives visual clues to mediums solving suspects locations and murder details.,boardgame,,,,,
Terraforming Mars,13,Engine-building strategy game where corporations develop Mars for human habitation.,boardgame,,,,,
Werewolf,14,Social deduction game with hidden roles and daytime voting accusations.,boardgame,,,,,
The Resistance,15,Players complete missions while spies sabotage and deceive the team.,boardgame,,,,,
Avalon,16,Arthurian Resistance variant with hidden roles and special powers for deduction.,boardgame,,,,,
Secret Hitler,17,Hidden roles and political voting game set in tense historical theme.,boardgame,,,,,
Coup,18,Fast bluffing card game of influence powers and challenge actions.,boardgame,,,,,
Settlers of Catan,19,Trade resources and build roads settlements to earn victory points.,boardgame,,,,,
Ticket to Ride,20,Collect train cards to claim routes and complete destination tickets.,boardgame,,,,,
carcasonne,21,Tile-laying game building cities roads and fields for area scoring.,boardgame,,,,,
Pandemic,22,Cooperative strategy to contain global outbreaks and discover disease cures.,boardgame,,,,,
Venus Flytrap,23,A carnivorous plant with trap-like leaves that snap shut when insects touch trigger hairs. Used for pest control botanical study and ornamental display.,plant,,,34.22|-78.02|350,Coastal Carolinas USA,
Corpse Flower,24,Giant tropical flower that produces one of the largest blooms in the world and smells like rotting flesh. Used for botanical research greenhouse attractions and education about pollination.,plant,,,-2.5|117.5|800,Sumatra Indonesia,
Dragons Blood Tree,25,An umbrella-shaped tree that produces a deep red resin called dragons blood. Used in traditional medicine as dye varnish and incense.,plant,,,12.5|54.0|250,Socotra Yemen,
Ghost Orchid,26,Rare orchid with floating white flowers that appear ghost-like in forests. Used for ornamental horticulture and conservation research.,plant,,,25.76|-80.19|400;18.22|-66.59|400,Florida USA and Caribbean,
Pitcher Plant,27,Carnivorous plant with tube-shaped leaves that trap insects in digestive liquid. Used for natural insect control and educational displays.,plant,,,1.35|103.82|600;3.14|101.69|500,Southeast Asia,
Mimosa pudica,28,Leaves fold inward quickly when touched. Used for educational demonstrations and as ornamental plant.,plant,,,-15.8|-47.9|700;18.5|-72.3|600,Tropical Americas,
Baobab Tree,29,Massive tree with thick trunk that stores water and appears upside-down. Sacred in African traditional religions. Provides food from fruit pulp and offers traditional medicine fiber and shelter.,plant,,,-18.9|47.5|700;14.5|-17.0|600;-20.0|45.0|500,Sub-Saharan Africa,
Jade Plant,30,Succulent with thick leaves often associated with prosperity. Rooted in Taoist feng shui symbolism for luck and good fortune. Used for indoor decoration.,plant,,,-33.9|18.4|500,South Africa,
Aloe Vera,31,Succulent with gel-filled leaves. Used for skin care burns treatment and cosmetics.,plant,,,24.0|45.0|800,Arabian Peninsula,
Stinging Nettle,32,Plant covered with tiny stinging hairs. Used for herbal tea medicine and textile fiber.,plant,,,51.5|-0.1|800;52.5|13.4|700,Europe temperate zone,
Mandrake,33,Plant with forked root historically linked to myths and magic. Mentioned in the Bible as a symbol of fertility and associated with ancient witchcraft traditions. Used in historical herbal medicine and folklore studies.,plant,,,31.8|35.2|500;37.98|23.73|400,Mediterranean Levant,
Bamboo,34,Fast-growing grass that can reach great heights. Used for construction furniture paper and food from bamboo shoots.,plant,,,30.6|104.1|900;22.3|114.2|700,East and South Asia,
Lotus,35,Aquatic plant with large floating leaves and symbolic flowers. Sacred in Hinduism and Buddhism representing purity and spiritual enlightenment. Used for food from seeds and roots and in ornamental ponds.,plant,,,28.6|77.2|700;13.8|100.5|600,South and East Asia,
