creature_name,cr,type,size,AC,hp,speed,alignment,legendary
Aarakocra,1/4,Humanoid (Aarakocra),Medium,12,13,fly,neutral good,false
Aboleth,10,Aberration,Large,17,135,swim,lawful evil,true
Abominable Yeti,9,Monstrosity,Huge,15,137,,chaotic evil,false
Adult Black Dragon,14,Dragon (Chromatic),Huge,19,195,"fly, swim",chaotic evil,true
Adult White Dragon,13,Dragon (Chromatic),Huge,18,200,"fly, swim",chaotic evil,true
Air Elemental,5,Elemental,Large,15,90,fly,neutral,false
Ancient Black Dragon,21,Dragon (Chromatic),Gargantuan,22,367,"fly, swim",chaotic evil,true
Ancient Blue Dragon,23,Dragon (Chromatic),Gargantuan,22,481,fly,lawful evil,true
Ancient Brass Dragon,20,Dragon (Metallic),Gargantuan,20,297,fly,chaotic good,true
Androsphinx,17,Monstrosity,Large,17,199,fly,lawful neutral,true
Animated Armor,1,Construct,Medium,18,33,,unaligned,false
Ankheg,2,Monstrosity,Large,14,39,,unaligned,false
Ankylosaurus,3,Beast,Huge,15,68,,unaligned,false
Arcanaloth,12,Fiend (Yugoloth),Medium,17,104,fly,neutral evil,false
Archmage,12,Humanoid (any race),Medium,12,99,,any alignment,false
Axe Beak,1/4,Beast,Large,11,19,,unaligned,false
Azer,2,Elemental,Medium,17,39,,lawful neutral,false
Badger,0,Beast,Tiny,10,3,,unaligned,false
Balor,19,Fiend (Demon),Huge,19,262,fly,chaotic evil,false
Bandit Captain,2,Humanoid (any race),Medium,15,65,,any non-lawful alignment,false
Banshee,4,Undead,Medium,12,58,fly,chaotic evil,false
Barbed Devil,5,Fiend (Devil),Medium,15,110,,lawful evil,false
Barlgura,5,Fiend (Demon),Large,15,68,,chaotic evil,false
Basilisk,3,Monstrosity,Medium,15,52,,unaligned,false
Bearded Devil,3,Fiend (Devil),Medium,13,52,,lawful evil,false
Behir,11,Monstrosity,Huge,17,168,,neutral evil,false
Beholder,13,Aberration,Large,18,180,fly,lawful evil,true
Beholder Zombie,5,Undead,Large,15,93,fly,neutral evil,false
Black Pudding,4,Ooze,Large,7,85,,unaligned,false
Blink Dog,1/4,Fey,Medium,13,22,,lawful good,false
Blue Slaad,7,Aberration,Large,15,123,,chaotic neutral,false
Bone Devil,9,Fiend (Devil),Large,19,142,fly,lawful evil,false
Bone Naga,4,Undead,Large,15,58,,lawful evil,false
Bugbear,1,Humanoid (Goblinoid),Medium,16,27,,chaotic evil,false
Bugbear Chief,3,Humanoid (Goblinoid),Medium,17,65,,chaotic evil,false
Bulette,5,Monstrosity,Large,17,94,,unaligned,false
Bullywug,1/4,Humanoid (Bullywug),Medium,15,11,swim,neutral evil,false
Cambion,5,Fiend,Medium,19,82,fly,any evil alignment,false
Carrion Crawler,2,Monstrosity,Large,13,51,,unaligned,false
Centaur,2,Monstrosity,Large,12,45,,neutral good,false
Chain Devil,8,Fiend (Devil),Medium,16,85,,lawful evil,false
Chasme,6,Fiend (Demon),Large,15,84,fly,chaotic evil,false
Chimera,6,Monstrosity,Large,14,114,fly,chaotic evil,false
Chuul,4,Aberration,Large,16,93,swim,chaotic evil,false
Clay Golem,9,Construct,Large,14,133,,unaligned,false
Cloaker,8,Aberration,Large,14,78,fly,chaotic neutral,false
Cloud Giant,9,Giant,Huge,14,200,,neutral good,false
Cockatrice,1/2,Monstrosity,Small,11,27,fly,unaligned,false
Couatl,4,Celestial,Medium,19,97,fly,lawful good,false
Crawling Claw,0,Undead,Tiny,12,2,,neutral evil,false
Crocodile,1/2,Beast,Large,12,19,swim,unaligned,false
Cult Fanatic,2,Humanoid (any race),Medium,13,33,,any non-good alignment,false
