philosopher,quotes
Marcus Aurelius,"You have power over your mind—not outside events. Realize this, and you will find strength.";"The happiness of your life depends upon the quality of your thoughts.";"Waste no more time arguing what a good man should be. Be one.";"Very little is needed to make a happy life."
Seneca,"We suffer more often in imagination than in reality.";"Luck is what happens when preparation meets opportunity.";"It is not that we have a short time to live, but that we waste much of it.";"Difficulties strengthen the mind."
Epictetus,"It is not what happens to you, but how you react to it that matters.";"No man is free who is not master of himself.";"Wealth consists not in having great possessions, but in having few wants.";"First say to yourself what you would be."
Socrates,"The unexamined life is not worth living.";"I know that I know nothing.";"Wonder is the beginning of wisdom.";"To find yourself, think for yourself."
Plato,"The beginning is the most important part of the work.";"Courage is knowing what not to fear.";"Wise men speak because they have something to say.";"The measure of a man is what he does with power."
Aristotle,"We are what we repeatedly do. Excellence is a habit.";"Happiness depends upon ourselves.";"Knowing yourself is the beginning of all wisdom.";"Educating the mind without educating the heart is no education."
Confucius,"It does not matter how slowly you go as long as you do not stop.";"Real knowledge is to know the extent of one's ignorance.";"Our greatest glory is rising every time we fall.";"When anger rises, think of the consequences."
Laozi,"A journey of a thousand miles begins with a single step.";"Nature does not hurry, yet everything is accomplished.";"He who knows others is wise; he who knows himself is enlightened.";"When I let go of what I am, I become what I might be."
Zhuangzi,"Happiness is the absence of striving for happiness.";"Flow with whatever may happen.";"Great wisdom is generous; petty wisdom is contentious.";"Life comes from the earth and returns to it."
Immanuel Kant,"Dare to know! Have the courage to use your own understanding.";"Science is organized knowledge.";"The starry heavens above me and the moral law within me.";"Experience without theory is blind."
Friedrich Nietzsche,"He who has a why to live can bear almost any how.";"That which does not kill us makes us stronger.";"There are no facts, only interpretations.";"He who fights with monsters should see to it that he does not become a monster."
Arthur Schopenhauer,"Compassion is the basis of morality.";"Talent hits a target others cannot hit; genius hits one others cannot see.";"A man can do what he wants, but not want what he wants.";"Mostly it is loss which teaches us about the worth of things."
René Descartes,"I think, therefore I am.";"Doubt is the origin of wisdom.";"Divide each difficulty into parts.";"The reading of all good books is like conversation with the finest minds."
John Locke,"No man's knowledge can go beyond his experience.";"Reading furnishes the mind only with materials of knowledge.";"Where there is no law, there is no freedom.";"New opinions are always suspected."
David Hume,"Reason is the slave of the passions.";"Beauty in things exists in the mind.";"Custom is the great guide of human life.";"A wise man proportions his belief to the evidence."
Baruch Spinoza,"Peace is not an absence of war; it is a virtue.";"The highest activity is learning for understanding.";"Freedom is understanding necessity.";"Blessedness is not the reward of virtue but virtue itself."
Voltaire,"Perfect is the enemy of good.";"Judge a man by his questions rather than by his answers.";"Common sense is not so common.";"Those who can make you believe absurdities can make you commit atrocities."
Jean-Jacques Rousseau,"Man is born free, and everywhere he is in chains.";"Patience is bitter, but its fruit is sweet.";"The world of reality has its limits; the world of imagination is boundless.";"What wisdom can you find that is greater than kindness?"
Thomas Hobbes,"Leisure is the mother of philosophy.";"Life in the state of nature is solitary, poor, nasty, brutish, and short.";"Covenants without the sword are but words.";"Curiosity is the lust of the mind."
John Stuart Mill,"Bad men need nothing more to compass their ends than that good men should look on and do nothing.";"Unpopular opinions are often valuable.";"Over himself, over his body and mind, the individual is sovereign.";"Liberty lies in diversity."
Karl Marx,"Philosophers have only interpreted the world; the point is to change it.";"Religion is the opium of the people.";"History repeats itself, first as tragedy, then as farce.";"Labor creates wealth."
Simone de Beauvoir,"One is not born, but rather becomes, a woman.";"Freedom is the source from which all significations arise.";"Oppression tries to defend itself by its utility.";"Life is occupied in both perpetuating itself and surpassing itself."
Jean-Paul Sartre,"Existence precedes essence.";"Man is condemned to be free.";"Freedom is what you do with what's been done to you.";"Hell is other people."
Albert Camus,"In the depth of winter I finally learned there was within me an invincible summer.";"The struggle itself toward the heights is enough to fill a man's heart.";"Freedom is nothing but a chance to be better.";"Real generosity toward the future lies in giving all to the present."
Ludwig Wittgenstein,"The limits of my language mean the limits of my world.";"Whereof one cannot speak, thereof one must be silent.";"Philosophy is a battle against the bewitchment of our intelligence by language.";"A serious and good philosophical work could be written consisting entirely of jokes."
Bertrand Russell,"The good life is one inspired by love and guided by knowledge.";"The whole problem with the world is that fools and fanatics are always so certain.";"Do not fear to be eccentric in opinion.";"To conquer fear is the beginning of wisdom."
Hannah Arendt,"The most radical revolutionary will become a conservative the day after the revolution.";"The sad truth is that most evil is done by people who never make up their minds to be good or evil.";"Power corresponds to the human ability to act together.";"Forgiveness is the key to action and freedom."
Michel Foucault,"Knowledge is not for knowing: knowledge is for cutting.";"Where there is power, there is resistance.";"The soul is the prison of the body.";"People know what they do, but not what what they do does."
Thomas Aquinas,"To one who has faith, no explanation is necessary.";"There is nothing on this earth more to be prized than true friendship.";"The things that we love tell us what we are.";"Beware the man of one book."
Augustine of Hippo,"The world is a book, and those who do not travel read only a page.";"Faith is to believe what you do not see.";"Love, and do what you will.";"Patience is the companion of wisdom."
Diogenes,"I am looking for an honest man.";"The sun too penetrates into privies but is not polluted.";"Dogs and philosophers do the greatest good.";"Of what use is a philosopher who does not hurt anybody's feelings?"
Heraclitus,"No man ever steps in the same river twice.";"Character is destiny.";"Everything flows.";"The only constant in life is change."
Parmenides,"What is, is.";"Nothing comes from nothing.";"Being is ungenerated and imperishable.";"Thought and being are the same."
